                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52093,                 122.56,                0.35926,                      0,                      0,                      0,                      0,                 5.0768,                 242.08,                 2.9785,                  2e-05,                  2e-05,                  2e-05
                      2,                0.48193,                 119.42,                0.46586,                      0,                      0,                      0,                      0,                 5.0811,                 242.52,                 2.9811,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 1.2757,                 117.95,                 1.0718,                      0,                      0,                      0,                      0,                 5.0824,                 242.77,                 2.9818,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 2.8084,                 114.73,                 2.3196,                      0,                      0,                      0,                      0,                 5.0834,                 242.84,                 2.9826,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 2.4257,                 109.81,                 2.2077,                      0,                      0,                      0,                      0,                 5.0845,                 243.17,                 2.9835,             0.00010872,             0.00010872,             0.00010872
                      6,                 1.4902,                 105.24,                 1.4512,                      0,                      0,                      0,                      0,                 5.0832,                 243.38,                 2.9832,              0.0001111,              0.0001111,              0.0001111
                      7,                  2.232,                 100.49,                 1.9937,                      0,                      0,                      0,                      0,                 5.0791,                 243.16,                 2.9814,             0.00010556,             0.00010556,             0.00010556
                      8,                 3.5182,                 96.248,                 2.7507,                      0,                      0,                      0,                      0,                 5.0743,                  242.9,                 2.9793,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 6.0698,                 91.837,                 3.7186,                      0,                      0,                      0,                      0,                  5.072,                 242.85,                 2.9784,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 4.8713,                 87.406,                 5.0847,                      0,                      0,                      0,                      0,                 5.0663,                 242.77,                 2.9758,              4.142e-05,              4.142e-05,              4.142e-05
